"","lista_paises","lista_paises_siglas","Paises_relacionados"
"167","Nauru","NRU",NA
"168","New Zealand","NZL",NA
"169","Oman","OMN",NA
"170","Pakistan","PAK","AFG IND"
"171","Panama","PAN",NA
"172","Pitcairn","PCN",NA
"173","Peru","PER","ECU"
"174","Philippines","PHL",NA
"175","Palau","PLW",NA
"176","Papua New Guinea","PNG",NA
"177","Poland","POL",NA
"178","Puerto Rico","PRI",NA
"179","North Korea","PRK","CHN JPN KOR RUS USA"
"180","Portugal","PRT","IDN TLS"
"181","Paraguay","PRY",NA
"182","Palestine","PSE","ISR JOR"
"183","French Polynesia","PYF",NA
"184","Qatar","QAT",NA
"185","Reunion","REU",NA
"186","Romania","ROU",NA
"187","Russia","RUS","ARM AZE CHN JPN KOR PRK USA KAZ KGZ TJK MNG DEU FRA GBR GEO MDA SYR TUR"
"188","Rwanda","RWA","AGO BDI CAF COD COG KEN SDN TZA UGA ZMB ZAF SSD"
"189","Saudi Arabia","SAU","YEM"
"190","Sudan","SDN","AGO BDI CAF COD COG KEN RWA TZA UGA ZMB TCD ERI SSD"
"191","Senegal","SEN",NA
"192","Singapore","SGP",NA
"193","South Georgia and the South Sandwich Islands","SGS",NA
"194","Saint Helena, Ascension and Tristan da Cunha","SHN",NA
"195","Svalbard and Jan Mayen","SJM",NA
"196","Solomon Islands","SLB",NA
"197","Sierra Leone","SLE",NA
"198","El Salvador","SLV","CRI GTM HND NIC"
"199","San Marino","SMR",NA
"200","Somalia","SOM","ERI ETH"
"201","Saint Pierre and Miquelon","SPM",NA
"202","Serbia","SRB",NA
"203","Sao Tome and Principe","STP",NA
"204","Suriname","SUR",NA
"205","Slovakia","SVK",NA
"206","Slovenia","SVN","HRV"
"207","Sweden","SWE",NA
"208","Swaziland","SWZ",NA
"209","Seychelles","SYC",NA
"210","Syria","SYR","LBN RUS TUR"
"211","Turks and Caicos Islands","TCA",NA
"212","Chad","TCD","CAF SDN LBY"
"213","Togo","TGO",NA
"214","Thailand","THA",NA
"215","Tajikistan","TJK","CHN KAZ KGZ RUS"
"216","Tokelau","TKL",NA
"217","Turkmenistan","TKM",NA
"218","Timor","TLS","IDN PRT"
"219","Tonga","TON",NA
"220","Trinidad and Tobago","TTO",NA
"221","Tunisia","TUN",NA
"222","Turkey","TUR","RUS SYR"
"223","Tuvalu","TUV",NA
"224","Taiwan","TWN",NA
"225","Tanzania","TZA","AGO BDI CAF COD COG KEN RWA SDN UGA ZMB ZAF SSD"
"226","Uganda","UGA","AGO BDI CAF COD COG KEN RWA SDN TZA ZMB ZAF SSD"
"227","Ukraine","UKR",NA
"228","United States Minor Outlying Islands","UMI",NA
"229","Uruguay","URY",NA
"230","United States","USA","CHN JPN KOR PRK RUS DEU FRA GBR IRQ"
"231","Uzbekistan","UZB",NA
"232","Holy See (Vatican City State)","VAT",NA
"233","Saint Vincent and the Grenadines","VCT",NA
"234","Venezuela","VEN","COL"
"235","Virgin Islands, British","VGB",NA
"236","Virgin Islands, U.S.","VIR",NA
"237","Viet Nam","VNM",NA
"238","Vanuatu","VUT",NA
"239","Wallis and Futuna","WLF",NA
"240","Samoa","WSM",NA
"241","Yemen","YEM","SAU"
"242","South Africa","ZAF","AGO BDI CAF COD COG RWA TZA UGA ZMB SSD NAM"
"243","Zimbabwe","ZWE",NA
"244","Zambia","ZMB","AGO BDI CAF COD COG KEN RWA SDN TZA UGA ZAF SSD"
"245","South Sudan","SSD","AGO BDI CAF COD COG RWA TZA UGA ZAF ZMB SDN"
